Link,Job Title,Company,Salary,Location,Experience,Skills,Day Posted
https://www.naukri.com/job-listings-production-manager-hollow-metal-doors-ncl-buildtek-limited-hyderabad-10-to-15-years-220425007494,Production Manager - Hollow Metal Doors,NCL Buildtek Limited,10-12 Lacs PA,Hyderabad(Patancheruvu),10-15 Yrs,"metal door, hollow, steel door, Production, Operations, Shift Planning, 5S System, Kaizen Implementation",2022-01
https://www.naukri.com/job-listings-production-manager-haden-systems-hyderabad-15-to-22-years-170425918558,Production Manager,Haden Systems,Not disclosed,Hyderabad(Adibatla),15-22 Yrs,"Fabrication, Sheet Metal, Heavy Fabrication, Equipment, Plant Machinery, Production Management, Industrial Machinery, Machinery",2022-01
https://www.naukri.com/job-listings-production-manager-hitachi-energy-kalol-10-to-12-years-160425500403,Production Manager,Hitachi Energy,Not disclosed,Kalol,10-12 Yrs,"Mining, SAP PM, Organizational development, Risk assessment, Manufacturing engineering, Packaging, Sensors, MS Office",2022-01
https://www.naukri.com/job-listings-metal-product-production-manager-koxton-sports-equipments-pvt-ltd-meerut-4-to-9-years-220425500450,Metal Product Production Manager,Koxton Sports Equipments,Not disclosed,Meerut,4-9 Yrs,"Fabrication, Procurement, Quality standards, Team management, Compliance, Manufacturing process, Workflow, Production Staff",2022-01
https://www.naukri.com/job-listings-production-manager-osr-enterprises-new-delhi-1-to-5-years-210425010031,Production Manager,OSR Enterprises,2-3.5 Lacs PA,New Delhi,1-5 Yrs,"Production Management, Quality Control Management, Daily Production Planning, Manpower Handling, Factory Management, Factory Operations, Manufacturing Operations, Manufacturing Management",2022-01
https://www.naukri.com/job-listings-production-manager-praveza-consultancy-pune-3-to-8-years-210425006312,Production Manager,Praveza Consultancy,3-3.75 Lacs PA,Pune,3-8 Yrs,"Production Management, Production Operations, Product Quality, Manufacturing Management, Manufacturing, Operations, Management, Production",2022-01
https://www.naukri.com/job-listings-production-manager-havmor-ice-cream-ahmedabad-havmor-ice-cream-lotte-india-corporation-limited-ahmedabad-18-to-25-years-190425004239,Production Manager (Havmor Ice-cream Ahmedabad),Havmor Ice-cream (Lotte India Corporation Limited),18-25 Lacs PA,Ahmedabad(Naroda),18-25 Yrs,"Production Management, Production Planning, Shop Floor Management, Lean Manufacturing, Daily Production Planning, 5S System, Production Operations, Kaizen Implementation",2022-01
https://www.naukri.com/job-listings-production-manager-bondada-engineering-pvt-ltd-hyderabad-10-to-12-years-180425500559,Production Manager,Bondada Engineering,Not disclosed,Hyderabad,10-12 Yrs,"Plant operations, Supply chain, Manager Quality Assurance, Lean manufacturing, Production engineering, Process improvement, Process control, Production operations",2022-01
https://www.naukri.com/job-listings-production-manager-amartex-ludhiana-8-to-10-years-170425016684,Production Manager,Amartex,Not disclosed,Ludhiana,8-10 Yrs,"Apparel Manufacturing, Textile Testing, Garment Manufacturing, Print Development, Fabric Development, Fabric Testing, Apparel Production, Fabric Sourcing",2022-01
https://www.naukri.com/job-listings-production-manager-nureca-limited-mohali-9-to-14-years-190425005248,Production Manager,Nureca .,13-15 Lacs PA,Mohali,9-14 Yrs,"Production Management, Production Planning, Shop Floor Management, Manpower Handling, Manufacturing Management, Management, Planning, Shop floor",2022-01
https://www.naukri.com/job-listings-production-manager-triphase-technologies-mohali-7-to-12-years-190425004084,Production Manager,Triphase Technologies,7-10 Lacs PA,Mohali(Sahibzada Ajit Singh Nagar),7-12 Yrs,"Electronics Production, Pcb Assembly, Printed Circuit Board, Wave Soldering, ICT, Automated Insertion, Conformal Coating, Component Assembly",2022-01
https://www.naukri.com/job-listings-production-manager-saipro-industries-pvt-ltd-pune-4-to-7-years-190425002911,Production Manager,Saipro Industries Pvt. Ltd.,3.5-6 Lacs PA,Pune(Pirangut +1),4-7 Yrs,"Food Technology, Food Processing, Production Management, Shop Floor Management, Daily Production Planning, Food Industry, Food Manufacturing, Production Planning",2022-01
https://www.naukri.com/job-listings-production-manager-nutraceuticals-smart4talent-baddi-8-to-12-years-180425911487,Production Manager - Nutraceuticals,Leading Client,Not disclosed,Baddi,8-12 Yrs,"Production, Production Management, manufacturing, production planning, production scheduling, Nutraceuticals, Scheduling, Planning",2022-01
https://www.naukri.com/job-listings-production-manager-tpm-solid-tyre-division-maraimalar-nagar-chennai-sai-hr-consultants-chennai-10-to-20-years-170425009627,Production Manager TPM - Solid Tyre Division  Maraimalar Nagar Chennai,SAI Hr Consultants,7.5-14 Lacs PA,Chennai(Maraimalai Nagar),10-20 Yrs,"Calendaring, Production Manager, Tyre Building, Curing, Extrusion, 5S System, Production Planning, Poka Yoke",2022-01
https://www.naukri.com/job-listings-production-manager-discovery-communications-india-mumbai-4-to-7-years-100425916798,Production Manager,Warner Bros. Discovery,Not disclosed,Mumbai,4-7 Yrs,"resource management, microsoft office applications, project management, production management, system administration, production, production coordination, budgeting",2022-01
https://www.naukri.com/job-listings-manager-production-caterpillar-india-private-ltd-hosur-10-to-15-years-180425500261,MANAGER PRODUCTION,Caterpillar Inc,Not disclosed,Hosur,10-15 Yrs,"Product quality, Manager Quality Assurance, Manufacturing process, Analytical, Process improvement, Scheduling, Manager Quality Control, Continuous improvement",2022-01
https://www.naukri.com/job-listings-cable-industry-is-hiring-manager-production-uttarakhand-on-time-solutions-uttarkashi-6-to-11-years-220425007635,Cable Industry is  Hiring   Manager Production : Uttarakhand, Manufacturing ,Not disclosed,Uttarkashi,6-11 Yrs,"Cable Manufacturing, Instrumentation cables, Wire, Cables, Power Cable, Team Handling, Shift Planning, Production Management",2022-01
https://www.naukri.com/job-listings-production-manager-female-only-akshaa-foods-corporation-chennai-0-to-1-years-210425005051,Production Manager (Female Only),Akshaa Foods Corporation,2.25-3 Lacs PA,Chennai,0-1 Yrs,"Production Management, Manufacturing Management, Operations Management, Production, Management, Manufacturing, Operations",2022-01
https://www.naukri.com/job-listings-production-manager-keyal-empire-designs-noida-10-to-20-years-230425010618,Production Manager,Keyal Empire Designs,6-8.5 Lacs PA,Noida(Sector-8 Noida),10-20 Yrs,"production manager, Apparel Manufacturing, Garment Manufacturing, Apparel Industry, Production, Garments, Womens Wear, Apparel Production",2022-01
https://www.naukri.com/job-listings-production-manager-tfarm-pvt-ltd-bhubaneswar-koraput-2-to-7-years-150425013543,Production Manager,Tfarm Pvt ltd,4-9 Lacs PA,"Bhubaneswar, Koraput",2-7 Yrs,"Production Management, Plant Operations, Factory Management, Factory Operations, Manufacturing Management, Manufacturing, Operations, Management",2022-01
https://www.naukri.com/job-listings-production-manager-tfarm-pvt-ltd-bhubaneswar-koraput-2-to-7-years-150425013543,Production Manager,Tfarm Pvt ltd,4-9 Lacs PA,"Bhubaneswar, Koraput",2-7 Yrs,"Production Management, Plant Operations, Factory Management, Factory Operations, Manufacturing Management, Manufacturing, Operations, Management",2022-01
https://www.naukri.com/job-listings-production-manager-bhiwandi-mumbai-sal-8-5-lpa-jobspot-hr-services-mumbai-mumbai-suburban-5-to-10-years-010425015822,"Production Manager : Bhiwandi, Mumbai : Sal : 8.5 LPA",Jobspot Hr Services,7.5-8.5 Lacs PA,"Mumbai(Andheri +1), Mumbai Suburban",5-10 Yrs,"Negotiation, Production Operations, Production Management, KRA, Production Documentation, Production Handling, Production Planning, Production Control",2022-01
https://www.naukri.com/job-listings-production-manager-hare-murari-placement-service-vapi-10-to-20-years-210425011228,Production Manager,Hare Murari Placement Service,10-20 Lacs PA,Vapi,10-20 Yrs,"Dairy Technology, Food Processing, Production Management, Production Planning, Production Control, Production Handling, Production Operations, Beverage",2022-01
https://www.naukri.com/job-listings-production-manager-bhavdev-traders-democratic-republic-of-the-congo-5-to-8-years-210425005709,Production Manager,Cool Drinks Manufacturing Company,18-20.4 Lacs PA,Democratic Republic of the Congo,5-8 Yrs,"Hands on Experience in Sidel Matrix Sidel Combi lines, should operate  Utilities of line, Should take care of Preventive maintenance as well Brake down maintenance, Should have 6 to 8 years experience in Beverages / cool drinks manufacturing process lines., Production, Line, Manufacturing, As",2022-01
https://www.naukri.com/job-listings-production-manager-automotive-acme-services-private-limited-chennai-5-to-10-years-090425916238,Production Manager - Automotive,Leading Client,Not disclosed,Chennai,5-10 Yrs,"Automotive management, Production management, product development, manufacturing operations, production process, Manufacturing Operation, Management, Process",2022-01
https://www.naukri.com/job-listings-production-manager-cnc-vmc-immediate-requirement-qfocus-engineering-india-p-ltd-india-5-to-10-years-230425012598,Production Manager- CNC/VMC( Immediate Requirement),Qfocus Engineering India (P) Ltd,4-4.75 Lacs PA,India,5-10 Yrs,"Production Planning, Production Engineering, Production Scheduling, Production Supervising, Requirements, Management, Planning, Supervision",2022-01
https://www.naukri.com/job-listings-manager-production-caterpillar-brazil-hosur-5-to-9-years-180425502244,MANAGER PRODUCTION,Caterpillar Inc,Not disclosed,Hosur,5-9 Yrs,"Product quality, Manager Quality Assurance, Manufacturing process, Analytical, Process improvement, Scheduling, Manager Quality Control, Continuous improvement",2022-01
https://www.naukri.com/job-listings-production-manager-ami-organics-ltd-ankleshwar-12-to-15-years-230425010353,Production Manager,Ami Organics,Not disclosed,Ankleshwar,12-15 Yrs,"project management, and technical proficiency, decision-making ability, communication, problem-solving, leadership, Production, Production management",2022-01
https://www.naukri.com/job-listings-production-manager-chemical-hr-visionary-pune-10-to-14-years-210425916302,Production Manager - Chemical,Leading Client,Not disclosed,Pune,10-14 Yrs,"Production, drive optimization, production Engineering, production Planning, maintenance, Chemical, Drives, Production management",2022-01
https://www.naukri.com/job-listings-industrial-gas-production-manager-next-learn-technologies-bengaluru-5-to-7-years-120425004546,Industrial Gas - Production Manager,Next Learn Technologies,10-15 Lacs PA,Bengaluru(Jigani),5-7 Yrs,"Plant Operations, Production Management, Cryogenic Vessels, ISO Audit, Pollution Control, Refrigeration Plant, Production Operations, Plant Maintenance",2022-01
https://www.naukri.com/job-listings-production-manager-kandhari-beverages-samba-nabhipur-7-to-11-years-231122008079,Production Manager,Kandhari Beverages,Not disclosed,"Samba, Nabhipur",7-11 Yrs,"Production Management, Production, Operational Excellence, Plant Management, Aseptic Processing, Production Operations, Aseptic, Sterile",2022-01
https://www.naukri.com/job-listings-production-manager-domatel-bharuch-ankleshwar-4-to-5-years-160425008450,Production Manager,Domatel,4-6 Lacs PA,"Bharuch, Ankleshwar",4-5 Yrs,"Api Production, Plant Operations, Production Planning Control, Production Operations, Pharmaceutical Production, Production Management, Production Planning, Manufacturing Operations",2022-01
https://www.naukri.com/job-listings-production-manager-career-solutions-sonipat-8-to-13-years-170425021139,Production Manager,Career Solutions,6-10 Lacs PA,Sonipat(Rai),8-13 Yrs,"Production Management, Factory Operations, Manufacturing Management, Plant Management, Plant Operations, Production Handling, Production Operations, Factory Management",2022-01
https://www.naukri.com/job-listings-production-manager-career-solutions-sonipat-7-to-12-years-170425021053,Production Manager,Career Solutions,6-10 Lacs PA,Sonipat(Kundli),7-12 Yrs,"Production Management, Production Planning, Production, Shift Planning, Shop Floor Control, Production Operations, Production Engineering, Production Supervising",2022-01
https://www.naukri.com/job-listings-production-manager-vacancy-factor-jaipur-3-to-5-years-160425007507,Production Manager,Vacancy Factor,3-3.75 Lacs PA,Jaipur,3-5 Yrs,"Production Management, Garment Manufacturing, 5S System, Production Operations, Apparel Industry, Kaizen Implementation, Production Planning, Production Supervising",2022-01
https://www.naukri.com/job-listings-production-manager-luxury-wooden-furniture-della-group-lonavala-4-to-10-years-080425503224,Production Manager- Luxury Wooden Furniture,Della Group,Not disclosed,Lonavala,4-10 Yrs,"Procurement, Business administration, Quality standards, PDF, Engineering management, Industrial engineering, Workflow, Production Staff",2022-01
https://www.naukri.com/job-listings-films-production-manager-facts-n-fictions-gurugram-6-to-10-years-180425504578,Films Production Manager,Facts N Fiction Studio,Not disclosed,Gurugram,6-10 Yrs,"Post production, Production management, Graphic designing, Illustrator, Management, Photoshop, Resource planning, Graphics",2022-01
https://www.naukri.com/job-listings-production-manager-acme-global-hub-bahrain-4-to-9-years-170425015642,Production Manager,Acme Global Hub,Not disclosed,Bahrain,4-9 Yrs,"Paper core, Production, Production Management, Paper, Management, Core",2022-01
https://www.naukri.com/job-listings-production-manager-insulation-solutions-gurugram-4-to-5-years-030425011978,Production Manager,Insulation Solutions,3.5-5.5 Lacs PA,Gurugram,4-5 Yrs,"Production Management, Production Planning Control, Production Operations, Production Planning, Planning, Production, Control plan, Control",2022-01
https://www.naukri.com/job-listings-production-manager-blumet-tubes-pvt-ltd-mehsana-kadi-5-to-6-years-180425005735,Production Manager,Blumet Tubes pvt ltd.,5-6 Lacs PA,"Mehsana, Kadi",5-6 Yrs,"Production Planning, Production Scheduling, Scheduling, Planning, Production, Production management, Management",2022-01
https://www.naukri.com/job-listings-production-manager-tfarm-pvt-ltd-bhubaneswar-koraput-2-to-7-years-150425013543,Production Manager,Tfarm Pvt ltd,4-9 Lacs PA,"Bhubaneswar, Koraput",2-7 Yrs,"Production Management, Plant Operations, Factory Management, Factory Operations, Manufacturing Management, Manufacturing, Operations, Management",2022-01
https://www.naukri.com/job-listings-production-manager-bhiwandi-mumbai-sal-8-5-lpa-jobspot-hr-services-mumbai-mumbai-suburban-5-to-10-years-010425015822,"Production Manager : Bhiwandi, Mumbai : Sal : 8.5 LPA",Jobspot Hr Services,7.5-8.5 Lacs PA,"Mumbai(Andheri +1), Mumbai Suburban",5-10 Yrs,"Negotiation, Production Operations, Production Management, KRA, Production Documentation, Production Handling, Production Planning, Production Control",2022-01
https://www.naukri.com/job-listings-production-manager-hare-murari-placement-service-vapi-10-to-20-years-210425011228,Production Manager,Hare Murari Placement Service,10-20 Lacs PA,Vapi,10-20 Yrs,"Dairy Technology, Food Processing, Production Management, Production Planning, Production Control, Production Handling, Production Operations, Beverage",2022-01
https://www.naukri.com/job-listings-production-manager-bhavdev-traders-democratic-republic-of-the-congo-5-to-8-years-210425005709,Production Manager,Cool Drinks Manufacturing Company,18-20.4 Lacs PA,Democratic Republic of the Congo,5-8 Yrs,"Hands on Experience in Sidel Matrix Sidel Combi lines, should operate  Utilities of line, Should take care of Preventive maintenance as well Brake down maintenance, Should have 6 to 8 years experience in Beverages / cool drinks manufacturing process lines., Production, Line, Manufacturing, As",2022-01
https://www.naukri.com/job-listings-production-manager-automotive-acme-services-private-limited-chennai-5-to-10-years-090425916238,Production Manager - Automotive,Leading Client,Not disclosed,Chennai,5-10 Yrs,"Automotive management, Production management, product development, manufacturing operations, production process, Manufacturing Operation, Management, Process",2022-01
https://www.naukri.com/job-listings-production-manager-cnc-vmc-immediate-requirement-qfocus-engineering-india-p-ltd-india-5-to-10-years-230425012598,Production Manager- CNC/VMC( Immediate Requirement),Qfocus Engineering India (P) Ltd,4-4.75 Lacs PA,India,5-10 Yrs,"Production Planning, Production Engineering, Production Scheduling, Production Supervising, Requirements, Management, Planning, Supervision",2022-01
https://www.naukri.com/job-listings-manager-production-caterpillar-brazil-hosur-5-to-9-years-180425502244,MANAGER PRODUCTION,Caterpillar Inc,Not disclosed,Hosur,5-9 Yrs,"Product quality, Manager Quality Assurance, Manufacturing process, Analytical, Process improvement, Scheduling, Manager Quality Control, Continuous improvement",2022-01
https://www.naukri.com/job-listings-production-manager-ami-organics-ltd-ankleshwar-12-to-15-years-230425010353,Production Manager,Ami Organics,Not disclosed,Ankleshwar,12-15 Yrs,"project management, and technical proficiency, decision-making ability, communication, problem-solving, leadership, Production, Production management",2022-01
https://www.naukri.com/job-listings-production-manager-chemical-hr-visionary-pune-10-to-14-years-210425916302,Production Manager - Chemical,Leading Client,Not disclosed,Pune,10-14 Yrs,"Production, drive optimization, production Engineering, production Planning, maintenance, Chemical, Drives, Production management",2022-01
